order_id,sku,qty,amount,fail_at,comp_fail_at
ORD000001,GADGET-X,7,1533.07,,
ORD000002,PANEL-40W,2,261.46,,
ORD000003,CABLE-2M,7,3088.26,,
ORD000004,PANEL-40W,8,1045.84,,
ORD000005,BATTERY-AA,5,1359.45,,
ORD000006,BATTERY-AA,1,271.89,,
ORD000007,WIDGET-B,9,1161.0,,
ORD000008,SENSOR-T1,6,2310.78,,
ORD000009,WIDGET-B,5,645.0,,
ORD000010,CABLE-2M,3,1323.54,,
ORD000011,ADAPTER-USB-C,1,151.3,,
ORD000012,SENSOR-T1,9,3466.17,,
ORD000013,GADGET-X,9,1971.09,,
ORD000014,WIDGET-B,5,645.0,,
ORD000015,BATTERY-AA,10,2718.9,,
ORD000016,GIZMO-PRO,3,601.08,,
ORD000017,MODULE-Z,3,1090.83,,
ORD000018,BATTERY-AA,9,2447.01,,
ORD000019,WIDGET-A,10,3501.9,,
ORD000020,MODULE-Z,8,2908.88,,
ORD000021,WIDGET-A,2,700.38,,
ORD000022,MODULE-Z,5,1818.05,,
ORD000023,GIZMO-PRO,1,200.36,,
ORD000024,GIZMO-PRO,10,2003.6,,
ORD000025,WIDGET-B,2,258.0,,
ORD000026,ADAPTER-USB-C,2,302.6,,
ORD000027,BATTERY-AA,3,815.67,order,
ORD000028,GADGET-X,8,1752.08,,
ORD000029,BATTERY-AA,3,815.67,,
ORD000030,SENSOR-T1,9,3466.17,,
ORD000031,PANEL-40W,7,915.11,,
ORD000032,GIZMO-PRO,9,1803.24,,
ORD000033,GIZMO-PRO,5,1001.8,,
ORD000034,CABLE-2M,6,2647.08,,
ORD000035,ADAPTER-USB-C,9,1361.7,,
ORD000036,ADAPTER-USB-C,2,302.6,,
ORD000037,GIZMO-PRO,4,801.44,,
ORD000038,WIDGET-B,6,774.0,,
ORD000039,WIDGET-A,10,3501.9,,
ORD000040,BATTERY-AA,4,1087.56,,
ORD000041,PANEL-40W,4,522.92,,
ORD000042,WIDGET-A,2,700.38,,
ORD000043,WIDGET-A,4,1400.76,,
ORD000044,WIDGET-B,1,129.0,,
ORD000045,MODULE-Z,2,727.22,,
ORD000046,BATTERY-AA,4,1087.56,,
ORD000047,SENSOR-T1,8,3081.04,,
ORD000048,GIZMO-PRO,9,1803.24,,
ORD000049,GADGET-X,10,2190.1,,
ORD000050,PANEL-40W,8,1045.84,,
ORD000051,GIZMO-PRO,8,1602.88,,
ORD000052,CABLE-2M,4,1764.72,,
ORD000053,WIDGET-B,2,258.0,,
ORD000054,CABLE-2M,6,2647.08,,
ORD000055,CABLE-2M,7,3088.26,,
ORD000056,ADAPTER-USB-C,1,151.3,,
ORD000057,WIDGET-B,1,129.0,,
ORD000058,CABLE-2M,6,2647.08,,
ORD000059,WIDGET-B,4,516.0,,
ORD000060,GIZMO-PRO,4,801.44,,
ORD000061,BATTERY-AA,8,2175.12,,
ORD000062,GADGET-X,7,1533.07,,
ORD000063,GADGET-X,5,1095.05,,
ORD000064,ADAPTER-USB-C,4,605.2,,
ORD000065,WIDGET-B,8,1032.0,,
ORD000066,BATTERY-AA,2,543.78,,
ORD000067,WIDGET-A,9,3151.71,,
ORD000068,WIDGET-A,2,700.38,,
ORD000069,GIZMO-PRO,3,601.08,,
ORD000070,CABLE-2M,8,3529.44,,
ORD000071,ADAPTER-USB-C,4,605.2,,
ORD000072,CABLE-2M,1,441.18,,
ORD000073,GADGET-X,7,1533.07,,
ORD000074,WIDGET-A,7,2451.33,,
ORD000075,SENSOR-T1,8,3081.04,,
ORD000076,SENSOR-T1,7,2695.91,,
ORD000077,BATTERY-AA,8,2175.12,,
ORD000078,GADGET-X,4,876.04,,
ORD000079,SENSOR-T1,4,1540.52,,
ORD000080,WIDGET-A,10,3501.9,,
ORD000081,BATTERY-AA,1,271.89,,
ORD000082,MODULE-Z,1,363.61,,
ORD000083,WIDGET-A,10,3501.9,,
ORD000084,ADAPTER-USB-C,9,1361.7,,
ORD000085,BATTERY-AA,3,815.67,,
ORD000086,WIDGET-A,9,3151.71,,
ORD000087,WIDGET-B,3,387.0,,
ORD000088,WIDGET-B,10,1290.0,,
ORD000089,WIDGET-B,4,516.0,,
ORD000090,CABLE-2M,2,882.36,,
ORD000091,PANEL-40W,4,522.92,,
ORD000092,PANEL-40W,10,1307.3,,
ORD000093,WIDGET-A,10,3501.9,,
ORD000094,WIDGET-B,7,903.0,,
ORD000095,PANEL-40W,10,1307.3,,
ORD000096,BATTERY-AA,6,1631.34,,
ORD000097,SENSOR-T1,4,1540.52,,
ORD000098,MODULE-Z,4,1454.44,,
ORD000099,SENSOR-T1,7,2695.91,,
ORD000100,GADGET-X,5,1095.05,,
ORD000101,ADAPTER-USB-C,6,907.8,,
ORD000102,WIDGET-B,1,129.0,,
ORD000103,ADAPTER-USB-C,10,1513.0,,
ORD000104,PANEL-40W,2,261.46,,
ORD000105,WIDGET-B,9,1161.0,,
ORD000106,GIZMO-PRO,9,1803.24,,
ORD000107,SENSOR-T1,3,1155.39,,
ORD000108,MODULE-Z,2,727.22,,
ORD000109,GIZMO-PRO,6,1202.16,order,
ORD000110,SENSOR-T1,3,1155.39,,
ORD000111,ADAPTER-USB-C,9,1361.7,,
ORD000112,SENSOR-T1,10,3851.3,,
ORD000113,BATTERY-AA,1,271.89,,
ORD000114,BATTERY-AA,5,1359.45,,
ORD000115,WIDGET-B,3,387.0,,
ORD000116,SENSOR-T1,2,770.26,,
ORD000117,WIDGET-B,9,1161.0,,
ORD000118,GADGET-X,5,1095.05,,
ORD000119,SENSOR-T1,10,3851.3,,
ORD000120,GIZMO-PRO,6,1202.16,,
ORD000121,GIZMO-PRO,5,1001.8,,
ORD000122,BATTERY-AA,8,2175.12,,
ORD000123,SENSOR-T1,1,385.13,,
ORD000124,WIDGET-B,7,903.0,,
ORD000125,SENSOR-T1,1,385.13,,
ORD000126,WIDGET-A,6,2101.14,,
ORD000127,GADGET-X,5,1095.05,,
ORD000128,GADGET-X,8,1752.08,,
ORD000129,BATTERY-AA,7,1903.23,,
ORD000130,BATTERY-AA,1,271.89,,
ORD000131,WIDGET-B,2,258.0,,
ORD000132,GADGET-X,9,1971.09,inventory,
ORD000133,WIDGET-A,6,2101.14,,
ORD000134,PANEL-40W,9,1176.57,,
ORD000135,GADGET-X,7,1533.07,,
ORD000136,GADGET-X,1,219.01,,
ORD000137,SENSOR-T1,6,2310.78,,
ORD000138,WIDGET-A,6,2101.14,,
ORD000139,GIZMO-PRO,4,801.44,,
ORD000140,WIDGET-B,6,774.0,,
ORD000141,BATTERY-AA,7,1903.23,,
ORD000142,PANEL-40W,3,392.19,,
ORD000143,GIZMO-PRO,3,601.08,,
ORD000144,GADGET-X,7,1533.07,,
ORD000145,WIDGET-A,3,1050.57,,
ORD000146,MODULE-Z,7,2545.27,,
ORD000147,GIZMO-PRO,5,1001.8,,
ORD000148,GADGET-X,2,438.02,,
ORD000149,CABLE-2M,1,441.18,,
ORD000150,ADAPTER-USB-C,4,605.2,,
ORD000151,GIZMO-PRO,8,1602.88,,
ORD000152,MODULE-Z,5,1818.05,,
ORD000153,GIZMO-PRO,4,801.44,,
ORD000154,WIDGET-A,4,1400.76,,
ORD000155,CABLE-2M,6,2647.08,,
ORD000156,SENSOR-T1,2,770.26,,
ORD000157,SENSOR-T1,6,2310.78,,
ORD000158,BATTERY-AA,7,1903.23,,
ORD000159,BATTERY-AA,6,1631.34,,
ORD000160,WIDGET-A,2,700.38,,
ORD000161,SENSOR-T1,3,1155.39,,
ORD000162,PANEL-40W,5,653.65,,
ORD000163,WIDGET-A,2,700.38,,
ORD000164,PANEL-40W,7,915.11,,
ORD000165,MODULE-Z,6,2181.66,,
ORD000166,CABLE-2M,10,4411.8,,
ORD000167,BATTERY-AA,2,543.78,,
ORD000168,CABLE-2M,10,4411.8,,
ORD000169,GIZMO-PRO,5,1001.8,,
ORD000170,WIDGET-A,7,2451.33,,
ORD000171,WIDGET-A,9,3151.71,,
ORD000172,BATTERY-AA,4,1087.56,,
ORD000173,MODULE-Z,7,2545.27,,
ORD000174,WIDGET-B,6,774.0,,
ORD000175,PANEL-40W,6,784.38,,
ORD000176,WIDGET-B,5,645.0,,
ORD000177,BATTERY-AA,5,1359.45,,
ORD000178,CABLE-2M,6,2647.08,order,
ORD000179,CABLE-2M,5,2205.9,,
ORD000180,BATTERY-AA,3,815.67,,
ORD000181,GIZMO-PRO,7,1402.52,,
ORD000182,CABLE-2M,3,1323.54,,
ORD000183,PANEL-40W,10,1307.3,,
ORD000184,SENSOR-T1,7,2695.91,,
ORD000185,BATTERY-AA,1,271.89,,
ORD000186,SENSOR-T1,5,1925.65,,
ORD000187,GIZMO-PRO,7,1402.52,,
ORD000188,PANEL-40W,10,1307.3,inventory,
ORD000189,MODULE-Z,8,2908.88,,
ORD000190,ADAPTER-USB-C,8,1210.4,,
ORD000191,GIZMO-PRO,9,1803.24,,
ORD000192,ADAPTER-USB-C,3,453.9,,
ORD000193,WIDGET-B,5,645.0,inventory,order
ORD000194,BATTERY-AA,10,2718.9,,
ORD000195,MODULE-Z,2,727.22,,
ORD000196,GIZMO-PRO,5,1001.8,,
ORD000197,GIZMO-PRO,4,801.44,,
ORD000198,GADGET-X,1,219.01,,
ORD000199,WIDGET-A,4,1400.76,,
ORD000200,ADAPTER-USB-C,10,1513.0,,
ORD000201,WIDGET-B,8,1032.0,,
ORD000202,CABLE-2M,10,4411.8,,
ORD000203,GIZMO-PRO,7,1402.52,,
ORD000204,ADAPTER-USB-C,7,1059.1,,
ORD000205,GIZMO-PRO,3,601.08,,
ORD000206,WIDGET-A,2,700.38,,
ORD000207,CABLE-2M,4,1764.72,,
ORD000208,GADGET-X,9,1971.09,,
ORD000209,ADAPTER-USB-C,1,151.3,,
ORD000210,BATTERY-AA,4,1087.56,,
ORD000211,WIDGET-B,8,1032.0,,
ORD000212,GADGET-X,8,1752.08,,
ORD000213,BATTERY-AA,9,2447.01,,
ORD000214,PANEL-40W,6,784.38,,
